instance_name,provider,region,vcpus,memory_gb,storage_gb,storage_type,hourly_cost,monthly_cost,spot_price,currency,instance_family,network_performance,last_updated
m6gd.8xlarge,AWS,AWS GovCloud (US-West),32,128.0,1,1 x 1900 NVMe SSD,1.8304,1336.192,,USD,General purpose,12 Gigabit,2025-08-27 14:39:18.276780
m6idn.32xlarge,AWS,Asia Pacific (Mumbai),128,512.0,4,4 x 1900 NVMe SSD,10.8576,7926.048,,USD,General purpose,200000 Megabit,2025-08-27 14:39:18.276888
c5d.12xlarge,AWS,US West (Seattle),48,96.0,2,2 x 900 NVMe SSD,2.88,2102.4,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:18.276930
i7i.48xlarge,AWS,Asia Pacific (Tokyo),192,1536.0,12,12 x 3750 NVMe SSD,21.2573,15517.829,,USD,Storage optimized,Up to 100 Gigabit,2025-08-27 14:39:18.276961
t4g.nano,AWS,Asia Pacific (Melbourne),2,0.5,0,EBS only,0.0053,3.869,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.277052
t4g.micro,AWS,Middle East (UAE),2,1.0,0,EBS only,0.0102,7.446000000000001,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.277150
r6id.32xlarge,AWS,Israel (Tel Aviv),128,1024.0,4,4 x 1900 NVMe SSD,11.2896,8241.408,,USD,Memory optimized,50000 Megabit,2025-08-27 14:39:18.277334
c7i.16xlarge,AWS,Asia Pacific (Jakarta),64,128.0,0,EBS only,3.2928,2403.744,,USD,Compute optimized,25000 Megabit,2025-08-27 14:39:18.277427
i3.8xlarge,AWS,EU (Ireland),32,244.0,4,4 x 1900 NVMe SSD,2.752,2008.9599999999998,,USD,Storage optimized,10 Gigabit,2025-08-27 14:39:18.277524
c5.large,AWS,US West (Oregon),2,4.0,0,EBS only,0.085,62.050000000000004,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:18.277614
m7i.metal-48xl,AWS,EU (Frankfurt),192,768.0,0,EBS only,11.592,8462.16,,USD,General purpose,50000 Megabit,2025-08-27 14:39:18.277707
m6gd.large,AWS,Asia Pacific (Taipei),2,8.0,1,1 x 118 NVMe SSD,0.1053,76.869,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.277761
c7i.16xlarge,AWS,US West (Oregon),64,128.0,0,EBS only,2.856,2084.88,,USD,Compute optimized,25000 Megabit,2025-08-27 14:39:18.277850
r7i.2xlarge,AWS,Asia Pacific (Jakarta),8,64.0,0,EBS only,0.6384,466.032,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.277946
i7i.12xlarge,AWS,Asia Pacific (Sydney),48,384.0,3,3 x 3750 NVMe SSD,5.4305,3964.2650000000003,,USD,Storage optimized,Up to 28.125 Gigabit,2025-08-27 14:39:18.277980
m6gd.2xlarge,AWS,AWS GovCloud (US-West),8,32.0,1,1 x 475 NVMe SSD,0.4576,334.048,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.278068
m7i.24xlarge,AWS,Mexico (Central),96,384.0,0,EBS only,5.08032,3708.6336,,USD,General purpose,37500 Megabit,2025-08-27 14:39:18.278171
r7g.metal,AWS,Africa (Cape Town),64,512.0,0,EBS only,4.5696,3335.8080000000004,,USD,Memory optimized,30 Gigabit,2025-08-27 14:39:18.278266
c6in.2xlarge,AWS,Africa (Cape Town),8,16.0,0,EBS only,0.60984,445.18320000000006,,USD,Compute optimized,Up to 40000 Megabit,2025-08-27 14:39:18.278368
c5d.12xlarge,AWS,US West (Phoenix),48,96.0,2,2 x 900 NVMe SSD,2.88,2102.4,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:18.278402
p2.8xlarge,AWS,US East (Ohio),32,488.0,0,EBS only,7.2,5256.0,,USD,GPU instance,10 Gigabit,2025-08-27 14:39:18.278429
m5zn.large,AWS,Asia Pacific (Sydney),2,8.0,0,EBS only,0.2065,150.745,,USD,General purpose,Up to 25 Gigabit,2025-08-27 14:39:18.278515
c6id.large,AWS,Asia Pacific (Malaysia),2,4.0,1,1 x 118 NVMe SSD,0.09996,72.9708,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:18.278610
c6i.16xlarge,AWS,US West (N. California),64,128.0,0,EBS only,3.392,2476.16,,USD,Compute optimized,25000 Megabit,2025-08-27 14:39:18.278701
c5d.18xlarge,AWS,EU (Stockholm),72,144.0,2,2 x 900 NVMe SSD,3.744,2733.1200000000003,,USD,Compute optimized,25 Gigabit,2025-08-27 14:39:18.278792
r5d.24xlarge,AWS,Europe (Spain),96,768.0,4,4 x 900 NVMe SSD,7.68,5606.4,,USD,Memory optimized,25 Gigabit,2025-08-27 14:39:18.278890
m6gd.xlarge,AWS,Asia Pacific (Hong Kong),4,16.0,1,1 x 237 NVMe SSD,0.248,181.04,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.279064
c5n.xlarge,AWS,EU (Frankfurt),4,10.5,0,EBS only,0.246,179.57999999999998,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:39:18.279170
g4dn.xlarge,AWS,EU (Frankfurt),4,16.0,125,125 GB NVMe SSD,0.658,480.34000000000003,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:39:18.279277
m5d.12xlarge,AWS,Canada (Central),48,192.0,2,2 x 900 NVMe SSD,3.024,2207.52,,USD,General purpose,10 Gigabit,2025-08-27 14:39:18.279377
x2iedn.4xlarge,AWS,Asia Pacific (Sydney),16,512.0,1,1 x 475 NVMe SSD,4.83525,3529.7325,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:18.279471
m7a.8xlarge,AWS,US East (N. Virginia),32,128.0,0,EBS only,1.85472,1353.9456,,USD,General purpose,12500 Megabit,2025-08-27 14:39:18.279564
m6gd.4xlarge,AWS,EU (Milan),16,64.0,1,1 x 950 NVMe SSD,0.8448,616.704,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.279740
r6in.metal,AWS,Asia Pacific (Tokyo),128,1024.0,0,EBS only,13.55328,9893.894400000001,,USD,Memory optimized,200000 Megabit,2025-08-27 14:39:18.279831
t3.medium,AWS,US West (Los Angeles),2,4.0,0,EBS only,0.0499,36.427,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.279864
r5.xlarge,AWS,Asia Pacific (Sydney),4,32.0,0,EBS only,0.302,220.45999999999998,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.279958
m6a.32xlarge,AWS,EU (Frankfurt),128,512.0,0,EBS only,6.624,4835.5199999999995,,USD,General purpose,50000 Megabit,2025-08-27 14:39:18.280053
p2.8xlarge,AWS,Asia Pacific (Seoul),32,488.0,0,EBS only,11.72,8555.6,,USD,GPU instance,10 Gigabit,2025-08-27 14:39:18.280086
c6g.8xlarge,AWS,AWS GovCloud (US-East),32,64.0,0,EBS only,1.3056,953.0880000000001,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:18.280171
g6.8xlarge,AWS,Europe (Spain),32,128.0,2,2 x 450 GB NVMe SSD,2.12253,1549.4469,,USD,GPU instance,25 Gigabit,2025-08-27 14:39:18.280355
r6idn.4xlarge,AWS,EU (Frankfurt),16,128.0,1,1 x 950 NVMe SSD,1.86264,1359.7272,,USD,Memory optimized,Up to 50000 Megabit,2025-08-27 14:39:18.280448
c6gn.medium,AWS,Asia Pacific (Seoul),1,2.0,0,EBS only,0.04875,35.5875,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:39:18.280539
r8g.medium,AWS,Asia Pacific (Tokyo),1,8.0,0,EBS only,0.07106,51.873799999999996,,USD,Memory optimized,Up to 12.5 Gigabit,2025-08-27 14:39:18.280628
r5.xlarge,AWS,Asia Pacific (Hong Kong),4,32.0,0,EBS only,0.334,243.82000000000002,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.280719
r5dn.2xlarge,AWS,Africa (Cape Town),8,64.0,1,1 x 300 NVMe SSD,0.884,645.32,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:18.280809
r8i.4xlarge,AWS,US East (Ohio),16,128.0,0,EBS only,1.11136,811.2927999999999,,USD,Memory optimized,Up to 15000 Megabit,2025-08-27 14:39:18.280842
c7i-flex.large,AWS,Asia Pacific (Tokyo),2,4.0,0,EBS only,0.10673,77.91290000000001,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:18.280928
m8gd.2xlarge,AWS,EU (Frankfurt),8,32.0,1,1 x 475 NVMe SSD,0.5552,405.296,,USD,General purpose,Up to 15 Gigabit,2025-08-27 14:39:18.280959
z1d.xlarge,AWS,EU (Ireland),4,32.0,1,1 x 150 NVMe SSD,0.416,303.68,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.281045
r6g.12xlarge,AWS,Canada (Central),48,384.0,0,EBS only,2.6496,1934.2079999999999,,USD,Memory optimized,20 Gigabit,2025-08-27 14:39:18.281140
m5d.metal,AWS,Europe (Spain),96,384.0,4,4 x 900 NVMe SSD,6.048,4415.04,,USD,General purpose,25 Gigabit,2025-08-27 14:39:18.281232
i4i.metal,AWS,Asia Pacific (Seoul),128,1024.0,8,8 x 3750 NVMe SSD,12.883,9404.59,,USD,Storage optimized,75000 Megabit,2025-08-27 14:39:18.281324
c8gn.24xlarge,AWS,US East (N. Virginia),96,192.0,0,EBS only,5.688,4152.24,,USD,Compute optimized,300 Gigabit,2025-08-27 14:39:18.281444
c7i.48xlarge,AWS,Canada (Central),192,384.0,0,EBS only,9.3744,6843.312,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:18.281529
r7a.32xlarge,AWS,US East (N. Virginia),128,1024.0,0,EBS only,9.7376,7108.448,,USD,Memory optimized,50000 Megabit,2025-08-27 14:39:18.281624
t4g.medium,AWS,Africa (Cape Town),2,4.0,0,EBS only,0.0434,31.682000000000002,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.281716
c5d.4xlarge,AWS,Asia Pacific (Seoul),16,32.0,1,1 x 400 NVMe SSD,0.88,642.4,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:18.281812
r6i.12xlarge,AWS,EU (Milan),48,384.0,0,EBS only,3.552,2592.96,,USD,Memory optimized,18750 Megabit,2025-08-27 14:39:18.281903
c5ad.large,AWS,Asia Pacific (Singapore),2,4.0,1,1 x 75 NVMe SSD,0.101,73.73,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:18.282001
r7g.medium,AWS,Israel (Tel Aviv),1,8.0,0,EBS only,0.0629,45.917,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.282091
d3en.4xlarge,AWS,Asia Pacific (Tokyo),16,64.0,8,8 x 14000 HDD,3.049,2225.77,,USD,Storage optimized,25 Gigabit,2025-08-27 14:39:18.282182
r6id.32xlarge,AWS,Mexico (Central),128,1024.0,4,4 x 1900 NVMe SSD,10.16064,7417.2672,,USD,Memory optimized,50000 Megabit,2025-08-27 14:39:18.282283
c8g.metal-48xl,AWS,EU (Stockholm),192,384.0,0,EBS only,8.1696,5963.808000000001,,USD,Compute optimized,50 Gigabit,2025-08-27 14:39:18.282375
i7ie.24xlarge,AWS,Asia Pacific (Sydney),96,768.0,8,8 x 7500 NVMe SSD,14.9592,10920.215999999999,,USD,Storage optimized,Up to 100 Gigabit,2025-08-27 14:39:18.282409
m5zn.xlarge,AWS,Asia Pacific (Singapore),4,16.0,0,EBS only,0.413,301.49,,USD,General purpose,Up to 25 Gigabit,2025-08-27 14:39:18.282494
c6gn.large,AWS,US West (N. California),2,4.0,0,EBS only,0.108,78.84,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:39:18.282590
i4i.metal,AWS,Europe (Zurich),128,1024.0,8,8 x 3750 NVMe SSD,14.404,10514.92,,USD,Storage optimized,75000 Megabit,2025-08-27 14:39:18.282687
c6gd.12xlarge,AWS,US West (Oregon),48,96.0,2,2 x 1425 NVMe SSD,1.8432,1345.536,,USD,Compute optimized,20 Gigabit,2025-08-27 14:39:18.282778
m6i.xlarge,AWS,EU (Milan),4,16.0,0,EBS only,0.224,163.52,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:18.282869
m5n.24xlarge,AWS,US East (Ohio),96,384.0,0,EBS only,5.712,4169.76,,USD,General purpose,100 Gigabit,2025-08-27 14:39:18.282969
r5n.24xlarge,AWS,Asia Pacific (Singapore),96,768.0,0,EBS only,8.544,6237.120000000001,,USD,Memory optimized,100 Gigabit,2025-08-27 14:39:18.283081
m6id.4xlarge,AWS,Asia Pacific (Singapore),16,64.0,1,1 x 950 NVMe SSD,1.1844,864.612,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:18.703592
c7i-flex.12xlarge,AWS,Asia Pacific (Hong Kong),48,96.0,0,EBS only,2.58552,1887.4296,,USD,Compute optimized,Up to 18750 Megabit,2025-08-27 14:39:18.703796
r6i.large,AWS,Asia Pacific (Mumbai),2,16.0,0,EBS only,0.13,94.9,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.703963
x2iedn.16xlarge,AWS,Asia Pacific (Mumbai),64,2048.0,1,1 x 1900 NVMe SSD,13.762,10046.26,,USD,Memory optimized,50 Gigabit,2025-08-27 14:39:18.704113
r7a.8xlarge,AWS,US East (N. Virginia),32,256.0,0,EBS only,2.4344,1777.112,,USD,Memory optimized,12500 Megabit,2025-08-27 14:39:18.704267
m5d.xlarge,AWS,US West (N. California),4,16.0,1,1 x 150 NVMe SSD,0.266,194.18,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.704414
c7g.16xlarge,AWS,Asia Pacific (Singapore),64,128.0,0,EBS only,2.6656,1945.888,,USD,Compute optimized,30 Gigabit,2025-08-27 14:39:18.704555
r5n.xlarge,AWS,EU (Frankfurt),4,32.0,0,EBS only,0.356,259.88,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:18.704696
i3en.metal,AWS,EU (London),96,768.0,8,8 x 7500 NVMe SSD,12.624,9215.52,,USD,Storage optimized,100 Gigabit,2025-08-27 14:39:18.704837
c7gd.16xlarge,AWS,US West (N. California),64,128.0,2,2 x 1900 NVMe SSD,3.6288,2649.024,,USD,Compute optimized,30 Gigabit,2025-08-27 14:39:18.704976
x1e.xlarge,AWS,Asia Pacific (Sydney),4,122.0,1,1 x 120 SSD,1.209,882.57,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.705114
r5ad.24xlarge,AWS,Asia Pacific (Singapore),96,768.0,4,4 x 900 NVMe SSD,7.632,5571.36,,USD,Memory optimized,20 Gigabit,2025-08-27 14:39:18.705254
r5dn.12xlarge,AWS,AWS GovCloud (US-East),48,384.0,2,2 x 900 GB NVMe SSD,4.824,3521.52,,USD,Memory optimized,50 Gigabit,2025-08-27 14:39:18.705393
t4g.2xlarge,AWS,EU (London),8,32.0,0,EBS only,0.3008,219.584,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.705534
r5d.24xlarge,AWS,Asia Pacific (Seoul),96,768.0,4,4 x 900 NVMe SSD,8.304,6061.92,,USD,Memory optimized,25 Gigabit,2025-08-27 14:39:18.705672
r7i.16xlarge,AWS,Mexico (Central),64,512.0,0,EBS only,4.44544,3245.1711999999998,,USD,Memory optimized,25000 Megabit,2025-08-27 14:39:18.705836
m5d.2xlarge,AWS,EU (Paris),8,32.0,1,1 x 300 NVMe SSD,0.528,385.44,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.705949
m6g.8xlarge,AWS,Asia Pacific (Seoul),32,128.0,0,EBS only,1.504,1097.92,,USD,General purpose,12 Gigabit,2025-08-27 14:39:18.706052
m6g.12xlarge,AWS,Middle East (UAE),48,192.0,0,EBS only,2.2704,1657.392,,USD,General purpose,20 Gigabit,2025-08-27 14:39:18.706149
m2.xlarge,AWS,AWS GovCloud (US-West),2,17.1,1,1 x 420 SSD,0.293,213.89,,USD,Memory optimized,Moderate,2025-08-27 14:39:18.706212
c7a.large,AWS,US East (N. Virginia),2,4.0,0,EBS only,0.10264,74.9272,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:18.706305
t3.2xlarge,AWS,Canada (Central),8,32.0,0,EBS only,0.3712,270.976,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.706404
m6a.8xlarge,AWS,EU (Milan),32,128.0,0,EBS only,1.6128,1177.344,,USD,General purpose,12500 Megabit,2025-08-27 14:39:18.706502
is4gen.xlarge,AWS,EU (Frankfurt),4,24.0,1,1 x 3750 SSD,0.6885,502.605,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:18.706604
a1.xlarge,AWS,US West (Oregon),4,8.0,0,EBS only,0.102,74.46,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.706701
c6g.xlarge,AWS,EU (Milan),4,8.0,0,EBS only,0.1616,117.96799999999999,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:18.706799
m4.2xlarge,AWS,Asia Pacific (Sydney),8,32.0,0,EBS only,0.5,365.0,,USD,General purpose,High,2025-08-27 14:39:18.706894
r6idn.12xlarge,AWS,EU (Frankfurt),48,384.0,2,2 x 1425 NVMe SSD,5.58792,4079.1816000000003,,USD,Memory optimized,75000 Megabit,2025-08-27 14:39:18.706990
g6.24xlarge,AWS,Europe (Spain),96,384.0,4,4 X 940 GB NVMe SSD,7.03351,5134.4623,,USD,GPU instance,50 Gigabit,2025-08-27 14:39:18.707086
m8g.16xlarge,AWS,EU (Ireland),64,256.0,0,EBS only,3.20128,2336.9344,,USD,General purpose,30 Gigabit,2025-08-27 14:39:18.707181
g4dn.2xlarge,AWS,Canada (BELL) - Toronto,8,32.0,225,225 GB NVMe SSD,1.252,913.96,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:39:18.707314
m7i.8xlarge,AWS,Asia Pacific (Thailand),32,128.0,0,EBS only,1.7136,1250.928,,USD,General purpose,12500 Megabit,2025-08-27 14:39:18.707482
m5.12xlarge,AWS,EU (Paris),48,192.0,0,EBS only,2.688,1962.24,,USD,General purpose,10 Gigabit,2025-08-27 14:39:18.707620
r5d.2xlarge,AWS,US West (N. California),8,64.0,1,1 x 300 NVMe SSD,0.648,473.04,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.707734
r7i.2xlarge,AWS,South America (Sao Paulo),8,64.0,0,EBS only,0.8442,616.266,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.707839
i8g.2xlarge,AWS,EU (Frankfurt),8,64.0,1,1 x 1875GB,0.8184,597.432,,USD,Storage optimized,Up to 12 Gigabit,2025-08-27 14:39:18.707881
r6i.32xlarge,AWS,EU (Milan),128,1024.0,0,EBS only,9.472,6914.5599999999995,,USD,Memory optimized,50000 Megabit,2025-08-27 14:39:18.707976
m6g.16xlarge,AWS,Africa (Cape Town),64,256.0,0,EBS only,3.2512,2373.3759999999997,,USD,General purpose,25 Gigabit,2025-08-27 14:39:18.708264
x2iedn.8xlarge,AWS,EU (Paris),32,1024.0,1,1 x 950 NVMe SSD,8.403,6134.1900000000005,,USD,Memory optimized,25 Gigabit,2025-08-27 14:39:18.708383
i4i.xlarge,AWS,Canada (Central),4,32.0,1,1 x 937 NVMe SSD,0.378,275.94,,USD,Storage optimized,Up to 10 Gigabit,2025-08-27 14:39:18.708479
m7a.2xlarge,AWS,US West (Oregon),8,32.0,0,EBS only,0.46368,338.4864,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:18.708575
i8g.12xlarge,AWS,Europe (Spain),48,384.0,3,3 x 3750GB,4.5384,3313.032,,USD,Storage optimized,Up to 28.125 Gigabit,2025-08-27 14:39:18.708611
m6i.4xlarge,AWS,Asia Pacific (Jakarta),16,64.0,0,EBS only,0.96,700.8,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:18.708702
c6in.8xlarge,AWS,US East (Ohio),32,64.0,0,EBS only,1.8144,1324.512,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:18.708862
m5ad.8xlarge,AWS,US West (Oregon),32,128.0,2,2 x 600 NVMe SSD,1.648,1203.04,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:18.709030
c5d.12xlarge,AWS,US West (Oregon),48,96.0,2,2 x 900 NVMe SSD,2.304,1681.9199999999998,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:18.709159
c6i.4xlarge,AWS,Asia Pacific (Mumbai),16,32.0,0,EBS only,0.68,496.40000000000003,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:18.709264
r7gd.8xlarge,AWS,Asia Pacific (Jakarta),32,256.0,1,1 x 1900 NVMe SSD,2.6307,1920.411,,USD,Memory optimized,15 Gigabit,2025-08-27 14:39:18.709364
c6g.metal,AWS,Asia Pacific (Sydney),64,128.0,0,EBS only,2.8416,2074.368,,USD,Compute optimized,25 Gigabit,2025-08-27 14:39:18.709463
g5.24xlarge,AWS,Asia Pacific (Tokyo),96,384.0,1,1 x 3800 GB NVMe SSD,11.81123,8622.1979,,USD,GPU instance,50 Gigabit,2025-08-27 14:39:18.709568
c7gd.16xlarge,AWS,EU (Paris),64,128.0,2,2 x 1900 NVMe SSD,3.4778,2538.794,,USD,Compute optimized,30 Gigabit,2025-08-27 14:39:18.709664
g3.8xlarge,AWS,EU (Ireland),32,244.0,0,EBS only,2.42,1766.6,,USD,GPU instance,10 Gigabit,2025-08-27 14:39:18.709701
r7g.medium,AWS,EU (Frankfurt),1,8.0,0,EBS only,0.0646,47.158,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.709790
m5a.12xlarge,AWS,US East (N. Virginia),48,192.0,0,EBS only,2.064,1506.72,,USD,General purpose,10 Gigabit,2025-08-27 14:39:18.709893
m5n.8xlarge,AWS,EU (Ireland),32,128.0,0,EBS only,2.128,1553.44,,USD,General purpose,25 Gigabit,2025-08-27 14:39:18.709991
m1.large,AWS,Asia Pacific (Singapore),2,7.5,2,2 x 420 SSD,0.233,170.09,,USD,General purpose,Moderate,2025-08-27 14:39:18.710054
i7i.16xlarge,AWS,Asia Pacific (Sydney),64,512.0,4,4 x 3750 NVMe SSD,7.2406,5285.638,,USD,Storage optimized,Up to 37.5 Gigabit,2025-08-27 14:39:18.710086
r6a.12xlarge,AWS,Asia Pacific (Tokyo),48,384.0,0,EBS only,3.2832,2396.736,,USD,Memory optimized,18750 Megabit,2025-08-27 14:39:18.710175
c6g.8xlarge,AWS,Asia Pacific (Thailand),32,64.0,0,EBS only,1.0662,778.326,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:18.710273
r7i.2xlarge,AWS,Asia Pacific (Sydney),8,64.0,0,EBS only,0.6342,462.966,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:18.710371
z1d.3xlarge,AWS,Asia Pacific (Mumbai),12,96.0,1,1 x 450 NVMe SSD,1.176,858.4799999999999,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.710467
r5d.metal,AWS,US West (Los Angeles),96,768.0,4,4 x 900 NVMe SSD,8.294,6054.620000000001,,USD,Memory optimized,25 Gigabit,2025-08-27 14:39:18.710503
r5.2xlarge,AWS,Asia Pacific (Mumbai),8,64.0,0,EBS only,0.52,379.6,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:18.710589
r7gd.metal,AWS,EU (Ireland),64,512.0,2,2 x 1900 NVMe SSD,4.8384,3532.032,,USD,Memory optimized,30 Gigabit,2025-08-27 14:39:18.710686
t4g.small,AWS,Asia Pacific (Melbourne),2,2.0,0,EBS only,0.0212,15.476,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:18.710780
